Ticker,Maturity,Yield,T,Df,Tenor
DE06M,2025-08-20,2.23,0.4849315068493151,0.9893618299570104,0.5
DE09M,2025-10-15,2.149,0.6383561643835617,0.9865187476942578,0.75
DE01Y,2026-01-14,2.094,0.8876712328767123,0.9817722758571222,1.0
DE02Y,2027-03-11,2.069,2.041095890410959,0.9590622107869041,2.0
DE03Y,2028-02-15,2.078,2.9753424657534246,0.9406407468916219,3.0
DE04Y,2029-02-15,2.091,3.978082191780822,0.9209735424681474,4.0
DE05Y,2030-04-18,2.217,5.147945205479452,0.8932549791545288,5.0
DE06Y,2031-02-15,2.201,5.978082191780822,0.8779633049259719,6.0
DE07Y,2032-02-15,2.281,6.978082191780822,0.8543777423745038,7.0
DE08Y,2033-02-15,2.347,7.980821917808219,0.830983277853692,8.0
DE09Y,2034-02-15,2.408,8.98082191780822,0.8075942589356919,9.0
DE10Y,2035-02-15,2.452,9.98082191780822,0.7852308497263413,10.0
DE15Y,2041-05-15,2.69,16.23013698630137,0.6499747470786945,15.0
DE20Y,2044-07-04,2.697,19.36986301369863,0.5972110408442727,20.0
DE25Y,2050-08-15,2.667,25.487671232876714,0.5112739871103807,25.0
DE30Y,2054-08-15,2.719,29.49041095890411,0.45332913167247646,30.0
FR01M,2025-03-26,2.517,0.0821917808219178,0.9979589253523854,0.08333333333333333
FR03M,2025-05-14,2.441,0.21643835616438356,0.9947937909487968,0.25
FR06M,2025-08-27,2.36,0.5041095890410959,0.9883100919704464,0.5
FR09M,2025-12-03,2.325,0.7726027397260274,0.9823993581242563,0.75
FR01Y,2026-01-28,2.279,0.9260273972602739,0.979348940209065,1.0
FR02Y,2026-11-25,2.232,1.7506849315068493,0.9620916239939784,2.0
FR03Y,2027-10-25,2.317,2.665753424657534,0.9407660227275126,3.0
FR04Y,2028-11-25,2.514,3.7534246575342465,0.9110163005726487,4.0
FR05Y,2029-11-25,2.64,4.7534246575342465,0.8835012908602903,5.0
FR06Y,2030-11-25,2.736,5.7534246575342465,0.8561593455173572,6.0
FR07Y,2031-11-25,2.851,6.7534246575342465,0.8270860376157387,7.0
FR08Y,2032-11-25,2.984,7.756164383561644,0.7960780903397084,8.0
FR09Y,2033-11-25,3.084,8.756164383561643,0.7664699613992724,9.0
FR10Y,2035-05-25,3.217,10.252054794520548,0.7228057760793757,10.0
FR15Y,2039-06-25,3.412,14.33972602739726,0.6180971599448449,15.0
FR20Y,2044-06-25,3.539,19.345205479452055,0.5102824957859743,20.0
FR25Y,2049-06-25,3.645,24.34794520547945,0.4182437723783033,25.0
FR30Y,2055-05-25,3.766,30.265753424657536,0.32664877662040603,30.0
FR50Y,2072-05-25,3.354,47.27945205479452,0.21019075551196614,50.0
ES01M,2025-03-07,2.367,0.030136986301369864,0.9992952175181484,0.08333333333333333
ES03M,2025-05-09,2.407,0.20273972602739726,0.9951894670592007,0.25
ES06M,2025-08-08,2.359,0.4520547945205479,0.9895152177554893,0.5
ES09M,2025-11-07,2.291,0.7013698630136986,0.984238449997792,0.75
ES01Y,2026-02-06,2.252,0.9506849315068493,0.9790506378309098,1.0
ES02Y,2027-04-30,2.282,2.1780821917808217,0.9520428852917455,2.0
ES03Y,2028-05-31,2.408,3.265753424657534,0.9252350598071096,3.0
ES04Y,2029-04-30,2.532,4.1808219178082195,0.9007383668175727,4.0
ES05Y,2030-01-31,2.598,4.936986301369863,0.8810639430528938,5.0
ES06Y,2031-04-30,2.745,6.1808219178082195,0.845880920872297,6.0
ES07Y,2031-07-30,2.76,6.4301369863013695,0.8394009291196951,7.0
ES08Y,2033-07-30,2.985,8.432876712328767,0.7803306360116651,8.0
ES09Y,2034-04-30,3.044,9.183561643835617,0.7592855757775996,9.0
ES10Y,2035-04-30,3.195,10.183561643835617,0.7259492166436491,10.0
ES15Y,2039-07-30,3.434,14.435616438356165,0.6142228037390347,15.0
ES20Y,2043-07-30,3.607,18.438356164383563,0.5202957977141572,20.0
ES25Y,2050-10-31,3.659,25.698630136986303,0.397119394015107,25.0
